ride_review,ride_rating,sentiment
i completed running new york marathon requested uber pool ride back hotel first let tell started right the driver agreed pick drop locations via app called spoke driver let know pick location actually blocked due marathon agreed another pickup location block away race road block before picked got notification another rider joining part ride picked driver spoken agreed upon location shortly passenger picked dropped now went wrong moments continuing destination got notification via app phone ride asked driver going claimed gee i another passenger pick ride need get still confused asked still far agreed upon destination this time clearly played dumb saying understand uber app works get in middle street strange location even anywhere wanting argue clear new ride request another clearly lucrative wanting continue ride jerk peacefully exited car stood front private residence shivering cold degree rainy weather dark completed running mile marathon wanting nothing safe ride back hotel seek much needed rest warmth safety no sooner exited car driver already scrawling new fare name piece paper standing outside car street meet new fare even inkling conscientiousness done and driver still nerve charge partial fare not excited using uber app street taxis coming another apps installed lyft requested new ride connected shortly another driver minutes away minutes long amount time warm safe dressed running clothes weary expecting safe warm car stranded street pace alone wait driver also main street traffic heavy due marathon rode closures minute wait able get realistic to eternal happiness arrived within minutes delivered safely nicely next day finding way file complaint uber via app sent complaint within couple hours replied wet blanket apology inconvenience offered credit charged to make even worse uber credited towards another driver one taken day wrote back corrected harm previous day good driver reputation take well earned pay preserve good relationships good uber drivers rode wrote back full credit better certainly enough make dangerous situation driver put mention discipline driver told uber never use use lyft although many many uber experiences past years one bad apple ruined uber forever,1.0,0
my appointment time auto repairs required early available mechanic begin work the uber app easily installed mobile device followed required information filled onto blanks when typing phone number gave order check sms texts confirmation code used along number no text sent first try more tries texts give four hours later texts codes sent two attempts unsuccessful emailing uber headquarters san francisco included lively suggestions as follows suggest someone unclog ride summoning impacted website rectum swallowing online laxative followed readily available fleets enema must wait weeks repairs done shop that means safety concerns drive when using uber months past things went far better problem cleared pronto apologetic courteous driver what letdown go round if world greatest ability dependability public service companies aware learning important aspect business world this incident second kind problem still fix then unlike made contact home base treated rudely great disrespect perhaps reply better forthcoming least choice codes might need one request service hours ahead needed uber folks oughta uncrimp contained app google store,1.0,0
whether using uber ride service uber eats ordering food service terrible out times ordering food uber eats times food forgotten every time requested refund missing item recently told refrain type behaviour told restricting account not sure punished drivers checking food prior delivery recently traveling ordered uber place staying notified driver tricky place find even provided extremely specific instructions attempted contact driver numerous times response the driver cancelled trip charged cancellation fee guess moral story company makes consumer pay employees mistakes please refrain using service possible know finding alternatives,1.0,0
why hard understand trying retrieve uber cab email different phone number if say security recognize phone number security system because therefore good security system link original number new number account recognize so stop rejecting new number what think want everyone calling private personal number do respond fixed problems or it tell people to shut the up and tried send let go pass why put amount stars serviced zero amount stars,1.0,0
i south beach fl staying major hotel ordered uber the driver find ridiculous waiting front hotel located main drag sobe he hung charged disputed charge credit account uber available live the last time ordered car south beach driver hardly spoke english find tj maxx my advice use uber florida,1.0,0
i damage vehicle due uber driver upstairs neighbor used the trim rear wheel well broke the driver leave note he kept calling neighbor now answer phone ca get number uber locate driver,1.0,0
i use uber fairly frequently overall good service amazing drivers you call only go steps send messages want call issue frustrating however two things happened short time make wary using uber future might go back taking first leave us feeling good uber let go my brother called uber pick us beach the uber driver arrived uber lyft sign window we get good feeling outset he dropped us home arranged he accepted cash tip tip uber app later uber retroactively charged brothers card driver reported gotten sand floor mats he picked us beach my brother contacted uber said even though ridiculous first place charge line criteria website they refused refund anything today see email uber inbox you rode dario miles trip time car uberx following message adjustment care due different drop locations ricardo whoever previous charge charged personal new total plus thought driver good generous tipper general also gave tip expensive mile ride ever taken you speak human get email confirmation dispute even received heard zero back this beyond horrifying after writing even upset,2.0,0
last night returned home airport using uber shared ride the person paid vs first stop residence farther away airport place needless say happy heard fare percent uber says dynamic pricing issue partial refund and company burning cash billion year turmoil executive ranks one think company might sensitive algorithms used uber suspect live city contracted uber provide local transportation free charge using city vehicle it took minutes arrive destination normally takes minutes picking people along shared experience city aware uber shortcomings plan address company needless say uber struggling pool algorithms chosen work customers inequities surface uber lost loyal customer,1.0,0
do lose anything uber otherwise experience nightmare getting recognize my friend ride set however end trip got dropped leaving wallet black leather seats black wallet night anyhow friend needed provide verification account problem except around emails days later accept email address account provided signing phone number calling used ride it uselessness forwarding info even confirming accounts it mind boggling messages getting back recognizing content info used ride not sure tech support terms usability letting charge fee returned item say least we threatening police point apparently driver something uber slowing whole process increasing frustration,1.0,0
my last experiences uber made use taxis turned preferable uber two weeks ago called uber driver speak understand english immediately got still charged tuesday october requested uber take midway airport when received notification driver arrived called since already waiting outside he informed lombard and place always picked chicago guess lyft,1.0,0
our party consisted three adult daughters two friends going wedding dress shopping we needed suv accommodate us uber showed driver minutes away sanford florida perfect thought reservation another minutes we waited waited map showed driver staying place originally shown yet eta remained we thought map must frozen reset done showed driver picked us route someplace going and without us to make matters worse credit card charged late appointment there must way uber assure card used your trip someone else,1.0,0
