Char,Sentiment_score,Unicode_name
😂,0.221,FACE_WITH_TEARS_OF_JOY
❤,0.746,HEAVY_BLACK_HEART
♥,0.657,BLACK_HEART_SUIT
😍,0.678,SMILING_FACE_WITH_HEART-SHAPED_EYES
😭,-0.093,LOUDLY_CRYING_FACE
😘,0.701,FACE_THROWING_A_KISS
😊,0.644,SMILING_FACE_WITH_SMILING_EYES
👌,0.563,OK_HAND_SIGN
💕,0.632,TWO_HEARTS
👏,0.520,CLAPPING_HANDS_SIGN
😁,0.449,GRINNING_FACE_WITH_SMILING_EYES
☺,0.657,WHITE_SMILING_FACE
♡,0.669,WHITE_HEART_SUIT
👍,0.521,THUMBS_UP_SIGN
😩,-0.368,WEARY_FACE
🙏,0.417,PERSON_WITH_FOLDED_HANDS
✌,0.463,VICTORY_HAND
😏,0.332,SMIRKING_FACE
😉,0.463,WINKING_FACE
🙌,0.559,PERSON_RAISING_BOTH_HANDS_IN_CELEBRATION
🙈,0.432,SEE-NO-EVIL_MONKEY
💪,0.555,FLEXED_BICEPS
😄,0.421,SMILING_FACE_WITH_OPEN_MOUTH_AND_SMILING_EYES
😒,-0.374,UNAMUSED_FACE
💃,0.734,DANCER
💖,0.712,SPARKLING_HEART
😃,0.557,SMILING_FACE_WITH_OPEN_MOUTH
😔,-0.146,PENSIVE_FACE
😱,0.190,FACE_SCREAMING_IN_FEAR
🎉,0.738,PARTY_POPPER
😜,0.455,FACE_WITH_STUCK-OUT_TONGUE_AND_WINKING_EYE
☯,0.001,YIN_YANG
🌸,0.650,CHERRY_BLOSSOM
💜,0.654,PURPLE_HEART
💙,0.730,BLUE_HEART
✨,0.351,SPARKLES
😳,0.018,FLUSHED_FACE
💗,0.657,GROWING_HEART
★,0.283,BLACK_STAR
█,-0.032,FULL_BLOCK
☀,0.465,BLACK_SUN_WITH_RAYS
😡,-0.173,POUTING_FACE
😎,0.491,SMILING_FACE_WITH_SUNGLASSES
😢,0.007,CRYING_FACE
💋,0.691,KISS_MARK
