text,Sarcasm
"@yuretaO Hey @Uber_Support thanks for make women feel totally safe, and not like they are in any danger at alllllll… https://t.co/eqcNvEjbTf",1
"@cbcnewsbc
 
@Uber
 He might be a bit biased to be saying that. #sarcasm Uber is jeopardizing workers livelihood. http://business.financialpost.com/executive/management-hr/sharing-economy-allows-employers-such-as-uber-to-avoid-obligations-to-workers",1
"Shoutout to 
@Uber
 for having 6 different drivers cancel on me and leave me to fend for my own 👏 #sarcasm",1
"i love all the extra traffic & pollution the out of town uber cars bring into our city #sarcasm ,.. Plus I love the thrill of not knowing whether the driver is banned from another authority (Cardiff?)... 🙊 http://bathchronicle.co.uk/news/bath-news/taxi-driver-banned-bath-back-671122#ICID=sharebar_twitter",1
"Somebody stole our 
@Uber
  - guess that's what happens when the driver says your name and asks you to confirm.. #thrilled #sarcasm",1
"I love how 2 minutes in 
@Uber
 world actually is 10 minutes #sarcasm",1
"Maybe we should have taxed iTunes downloads to save the CD industry! 😂 
@Uber
 #sarcasm #stupidpolicy",1
"Oh good! More messaging while driving! #sarcasm 
@Uber
 care to explain the use case here? Drivers are usually... driving, right?",1
"Glad 
@uber
 took care of me. #Sarcasm 
@lyft
 it is.",1
"@Uber
 app didn’t tell me my driver was here because he was waiting across the street and I got charged awaiting fee of over four dollars. I’m sure Uber is really easy to reach to Lodge my complaint #Sarcasm",1
"@YouriPhx
 
@Uber
 Don't worry Youri, they know what they're doing :) #sarcasm",1
"My 
@Uber
 driver took a really efficient route tonight. #Sarcasm",1
Nah. Why would we want anything to make sense here.......#sarcasm,1
"As I sit in cab 5245 in Chicago listening to his phone call on speakerphone for my full ride I can’t imagine how 
@Uber
 has been able to make so much traction #sarcasm #innovate #customercentric",1
".
@Uber
 
@MADDOnline
 How impressive. You'll only donate if someone enters a code and knows about the promo. A+ #Sarcasm",1
"Considering your history of ignoring problems from customers, many #women and #POC, I’m sure this will go swimmingly and not turn out to be a marketing ploy at all. #sarcasm",1
"Uber self-driving vehicle hits, kills pedestrian in Arizona
http://wr.al/1B7hJ I did not see that coming 
@Uber
 #Sarcasm",1
"Saratoga Taxi: ""could be anywhere from 10 mins to an hour and 15 mins""
Me: ""who needs 
@uber
 with that great service""
#sarcasm #weneeduber",1
"@HeadHR_Deepak
 
@CafeCoffeeDay
 Look we are in support of increasing your sales !! 
@Uber
 can provide ride too !! #KeepThemEngaged #Sarcasm",1
"I love how you can use 
@Uber
 and still get a racist cab driver. #sarcasm",1
"Remind me not to use 
@Uber
 in Brisbane - would be scary having Tyson as a driver, particularly as he is so clever #sarcasm #mkr",1
"@towncartaxi
 The taxi industry is well known 4 taking care of it's drivers Lol. Thank goodness a union is getting involved. 
@Uber
 #sarcasm",1
"I'm thinking that 
@uber
 for llamas is what would catapult the company from a $40B valuation to a $100B valuation. #sarcasm #llama",1
"@Uber
 
@Uber_Support
 did me wrong with that 7-14 day background check review (out of no where) and the 2 days I needed to work the most I can’t, only job I have and #Uber screwed me, might have to live in my damn car again! what a joy working for this company #Sarcasm",1
"@Uber
 Your response time to replying to your issues via email is horrendously unbelievable. Kudos to you guys! #sarcasm #ubersupportfail",1
"#sarcasm to max: will 
@uber
 get Obama book an Uber ride in KL while teksi drivers are planning their protest! Wakaka",1
"
Wow... $5! What a recovery from 
@Uber
. Nice work. #sarcasm",1
I know it must be really hard to see the 2m bike + diamond painted on the road with reflective paint. Open space must be for cars 😜 #sarcasm,1
"Hello 
@Uber
 driver, this is my dad who is in his mid 80s and we need a little more time and patience getting him in and out of the car. No problem but here’s a shit rating because it took a few extra seconds. Thanks a lot you are are a lovely human being. #sarcasm #bahhumbug",1
"love when your 
@Uber
 driver drives slow on purpose. just makes the ride that much more enjoyable #sarcasm",1
"With rates like that, I can't imagine why anybody would use lyft or 
@uber
 #sarcasm #SFOmadeMeDoIt http://instagram.com/p/fkq8U1j--h/",1
"Thanks 
@Uber
 and 
@Uber_Support
 for taking 2 months to refund me $9 for the ride I didn't take on NYE after I had to jump through hoops to get you to believe I didn't take it. Much appreciated. #Sarcasm",1
"@Uber
 lovely scenic tour of SF at 2 am though #sarcasm",1
"And just like that, I'm an 
@Uber
 delivery driver. Thank you #BayArea! #sarcasm",1
"Thanks 
@Uber
 . #sarcasm",1
